genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
classical,"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",0.0939,0.0336,-24.041,0.0606,0.927,0.83,0.0954,0.0516,2,67.359
classical,"Goldberg Variations, BWV 988: Aria",0.454,0.0139,-29.966,0.0514,0.995,0.943,0.0736,0.244,4,130.253
classical,"Clair de Lune, L. 32",0.335,0.00532,-31.646,0.0376,0.994,0.912,0.0621,0.0397,1,65.832
classical,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",0.184,0.00527,-37.264,0.0432,0.995,0.887,0.173,0.151,1,170.612
classical,Miroirs: III. Une barque sur l'océan,0.17,0.0479,-27.021,0.0438,0.981,0.906,0.0795,0.0304,2,75.664
classical,"Nocturne No.2 In E Flat, Op.9 No.2",0.442,0.00919,-32.452,0.047,0.984,0.936,0.0873,0.0929,3,79.314
classical,"Cello Concerto No. 1 in C Major, Hob. VIIb:1: II. Adagio",0.0859,0.0653,-24.541,0.0572,0.972,0.889,0.0876,0.068,5,61.538
classical,"Lyric Pieces, Book 5, Op. 54: Nocturne",0.296,0.0435,-29.73,0.0411,0.987,0.857,0.0786,0.0302,0,72.282
classical,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",0.194,0.0324,-28.215,0.0382,0.982,0.961,0.0916,0.0596,5,144.13
classical,"8 Humoresques, Op. 101, B. 187: No. 7, Poco lento e grazioso (Transcribed by Oscar Morawetz for Violin, Cello & Orchestra)",0.182,0.0603,-25.046,0.0459,0.852,0.411,0.145,0.141,6,98.799
classical,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",0.299,0.00626,-30.923,0.0478,0.994,0.901,0.0823,0.0634,9,69.043
classical,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",0.48,0.163,-19.117,0.0645,0.81,0.754,0.093,0.212,5,158.366
classical,"Nabucco / Act 3: Va, pensiero, sull'ali dorate",0.0666,0.0211,-24.057,0.0398,0.984,0.685,0.0999,0.132,1,73.377
classical,"Die Walkure, Act III: Ride of the Valkyries",0.251,0.219,-16.781,0.0323,0.929,0.933,0.0824,0.0965,7,89.997
classical,"6 Impromptus, Op. 5: Impromptu VI",0.448,0.0052,-36.512,0.0564,0.995,0.88,0.0698,0.0398,4,62.171
classical,Pini di Roma (The Pines of Rome): III. I pini del Gianiclo,0.0754,0.0102,-35.69,0.0464,0.901,0.106,0.0817,0.0331,4,81.324
classical,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",0.25,0.135,-18.615,0.0488,0.958,0.0349,0.0477,0.179,9,94.404
classical,"Minuet in A Major, D. 334",0.273,0.00573,-39.245,0.0493,0.994,0.913,0.0857,0.174,9,91.621
classical,"Gianni Schicchi: ""O mio Babbino caro""",0.112,0.196,-14.767,0.0418,0.966,0.802,0.117,0.0363,8,89.321
classical,"An der schönen blauen Donau, Op.314",0.233,0.0252,-24.824,0.0346,0.975,0.601,0.143,0.0936,2,94.736
classical,"Symphony No. 4 in E-Flat Major, WAB 104, ""Romantic"": I. Bewegt, nicht zu schnell - Live",0.0724,0.0659,-19.545,0.0408,0.947,0.866,0.109,0.0366,3,70.285
classical,"4 Lieder, Op. 27, TrV 170: IV. Morgen! (Arr. for Cello and Piano by Julian Riem)",0.138,0.0126,-28.316,0.0521,0.992,0.787,0.0713,0.0343,5,174.084
classical,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1",0.355,0.0164,-28.659,0.0396,0.995,0.926,0.0986,0.0922,3,67.946
classical,"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",0.29,0.13,-21.544,0.0386,0.943,0.911,0.0811,0.154,7,132.869
classical,"Violin Concerto No.1 in G minor, Op.26: 1. Vorspiel (Allegro moderato)",0.169,0.0974,-21.414,0.042,0.864,0.632,0.087,0.0524,3,170.379
classical,The Lark Ascending,0.0811,0.0122,-32.654,0.0511,0.902,0.308,0.0648,0.0384,4,74.554
classical,"Cello Concerto in E Minor, Op.85 (1997 - Remaster): I. Adagio - Moderato",0.124,0.0978,-22.849,0.0432,0.952,0.218,0.112,0.0433,4,96.309
classical,"Symphonie fantastique, Op. 14: Symphonie fantastique, Op. 14: IV. Marche au supplice",0.356,0.207,-17.76,0.0388,0.95,0.914,0.0802,0.328,10,146.755
classical,3 Small Tone Poems: No. 1. Summer Evening,0.102,0.0449,-23.95,0.0388,0.972,0.771,0.0646,0.0334,2,90.459
classical,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",0.343,0.0342,-25.591,0.0406,0.991,0.92,0.1,0.0378,8,60.228
classical,"Carnival of the Animals, R. 125: The Swan",0.211,0.00756,-33.123,0.0455,0.994,0.89,0.0734,0.0391,7,118.247
classical,Khachaturian: Spartacus (Highlights from the Ballet): Adagio of Spartacus and Phrygia,0.109,0.106,-21.555,0.0392,0.82,0.816,0.102,0.0334,8,88.285
classical,Gymnopédie No. 1,0.469,0.0128,-36.856,0.119,0.994,0.937,0.0941,0.354,7,72.765
classical,"Fauré: Pavane in F-Sharp Minor, Op. 50",0.0982,0.0575,-24.448,0.0454,0.984,0.904,0.122,0.0392,6,70.041
classical,Adagio in G Minor,0.099,0.279,-12.939,0.0346,0.743,0.903,0.114,0.0464,7,89.755
classical,Die Moldau,0.253,0.224,-12.908,0.0321,0.937,0.88,0.116,0.107,7,76.652
classical,Barcarolle,0.238,0.0815,-22.5,0.045,0.983,4.01e-05,0.279,0.0414,2,128.52
classical,Barber: Adagio for Strings,0.102,0.0733,-24.133,0.0488,0.974,0.859,0.28,0.0308,10,73.954
classical,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto,0.0783,0.0523,-23.247,0.0471,0.896,0.945,0.0806,0.0327,5,82.015
classical,"Cello Concerto in C Major, G. 477: II. Largo",0.0959,0.00714,-36.544,0.0427,0.92,0.0281,0.106,0.0532,5,70.474
classical,"Kinderszenen, Op. 15: No. 7 in F Major, Träumerei",0.5,0.0123,-30.17,0.0712,0.995,0.954,0.0748,0.313,5,130.128
classical,Overture Candide,0.285,0.428,-11.916,0.0436,0.852,0.506,0.114,0.48,3,159.082
classical,Jazz Suite No. 2: VI. Waltz 2,0.322,0.184,-18.312,0.0338,0.984,0.902,0.0813,0.356,0,107.847
