genre,name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
country,Meet In the Middle,Diamond Rio,746,443,-11,35,663,0,223,554,4,91
country,Amazed,Lonestar,561,543,-8,32,260,0,124,243,1,139
country,She Won't Be Lonely Long,Clay Walker,635,758,-5,24,6,0,229,322,7,113
country,She's In Love With The Boy - Single Version,Trisha Yearwood,783,698,-8,32,522,0,75,758,3,124
country,Neon Moon,Brooks & Dunn,698,632,-6,24,554,0,118,458,9,102
country,Bye-Bye,Jo Dee Messina,644,868,-3,46,183,0,322,642,10,134
country,"Forever and Ever, Amen",Randy Travis,677,724,-8,24,143,0,158,697,2,90
country,Sold (The Grundy County Auction Incident),John Michael Montgomery,771,848,-7,35,108,0,350,803,2,115
country,Bubba Shot The Jukebox,Mark Chesnutt,544,648,-8,54,307,0,84,866,7,165
country,It's A Great Day To Be Alive,Travis Tritt,595,653,-4,26,246,0,264,542,7,128
country,John Deere Green,Joe Diffie,703,834,-5,27,110,0,66,722,7,130
country,Watermelon Crawl,Tracy Byrd,759,723,-9,28,173,0,179,962,0,136
country,Time Marches On,Tracy Lawrence,856,517,-9,29,563,0,144,479,6,118
country,You're Gonna Miss This,Trace Adkins,507,665,-7,34,23,0,99,323,8,154
country,"Love, Me",Collin Raye,600,242,-12,31,697,0,128,300,0,106
country,She Don't Know She's Beautiful,Sammy Kershaw,764,646,-9,30,367,0,84,877,9,116
country,Fancy,Reba McEntire,674,517,-11,72,226,0,69,482,11,94
country,Killin' Time,Clint Black,711,491,-10,29,381,0,249,671,7,121
country,Redneck Yacht Club,Craig Morgan,490,817,-5,35,455,0,88,808,8,168
country,Your Man,Josh Turner,744,637,-4,24,337,0,69,785,6,100
country,Independence Day,Martina McBride,712,630,-6,29,257,0,99,768,9,118
country,Redneck Woman,Gretchen Wilson,499,825,-5,177,130,0,306,753,6,185
country,Caught Up In The Country,Rodney Atkins,603,852,-5,46,13,0,513,655,7,124
country,A Little Bit Stronger,Sara Evans,536,650,-5,33,282,0,87,288,2,147
country,Better Things To Do,Terri Clark,569,782,-5,49,105,0,130,595,10,150
country,Save a Horse (Ride a Cowboy),Big & Rich,700,896,-2,191,108,0,453,817,2,102
country,Tequila Makes Her Clothes Fall Off,Joe Nichols,664,706,-7,27,129,0,85,681,2,93
country,What Kinda Gone,Chris Cagle,494,861,-5,36,257,0,103,668,5,172
country,Song of the South,Alabama,486,633,-8,36,176,0,312,669,9,162
country,Undivided,Tim McGraw,583,814,-4,29,130,0,205,410,10,90
country,Check Yes Or No,George Strait,708,524,-12,35,55,0,37,690,5,111
country,Some Girls Do,Sawyer Brown,640,852,-6,28,90,0,151,903,2,139
country,Good Directions,Billy Currington,716,720,-2,31,307,0,135,464,5,122
country,Every Storm (Runs Out Of Rain),Gary Allan,525,693,-6,32,46,0,247,363,0,107
country,Two Dozen Roses,Shenandoah,687,648,-9,27,314,0,289,600,4,121
country,This Kiss,Faith Hill,398,804,-5,45,175,0,181,709,11,186
country,Just Another Day In Paradise,Phil Vassar,596,706,-5,26,351,0,360,704,2,146
country,19 Somethin' - Greatest Hits Version,Mark Wills,580,816,-5,72,132,0,77,814,4,89
country,Life is a Highway,Rascal Flatts,582,952,-3,73,3,0,223,655,5,103
country,Where I Come From,Montgomery Gentry,620,852,-4,30,10,0,279,479,1,90
country,Whiskey Lullaby (feat. Alison Krauss),Brad Paisley,520,333,-11,30,816,0,188,198,2,74
country,I Hope You Dance,Lee Ann Womack,385,443,-9,29,63,0,89,275,7,151
country,Don't Let Our Love Start Slippin' Away,Vince Gill,736,719,-9,31,420,0,350,657,3,113
country,Billy's Got His Beer Goggles On - Remastered Version,Neal McCoy,715,775,-6,43,354,0,144,803,0,106
country,One Too Many,Keith Urban,697,535,-6,68,247,0,569,594,4,82
country,You've Got to Stand for Something,Aaron Tippin,533,585,-9,33,199,0,110,472,4,83
country,Straight Tequila Night,John Anderson,640,639,-10,33,134,0,178,593,9,109
country,Grandpa (Tell Me 'Bout The Good Old Days),The Judds,560,239,-16,34,473,0,56,601,4,201
country,"Wine, Beer, Whiskey",Little Big Town,727,914,-5,74,617,0,596,784,7,106
country,Should've Been A Cowboy,Toby Keith,585,793,-3,32,351,0,300,732,7,133
country,Maybe It Was Memphis,Pam Tillis,495,695,-6,31,437,0,73,496,9,73
country,Gone,Dierks Bentley,521,746,-6,35,9,0,74,473,6,149
country,American Kids,Kenny Chesney,733,589,-7,100,47,0,36,867,7,170
country,God Blessed Texas,Little Texas,648,766,-8,32,232,0,121,971,9,128
country,Livin' Our Love Song,Jason Michael Carroll,488,855,-3,39,287,0,132,799,7,148
country,It's Five O'Clock Somewhere,Alan Jackson,713,768,-6,36,220,0,177,878,2,125
country,God's Country,Blake Shelton,536,754,-5,39,59,0,118,212,10,139
country,Settling Down,Miranda Lambert,643,756,-5,30,21,0,101,934,6,90
country,Delta Dawn,Tanya Tucker,619,507,-7,33,710,0,258,694,5,77
country,Have You Forgotten?,Darryl Worley,478,625,-5,34,51,0,116,343,7,160
country,Dust On The Bottle,David Lee Murphy,736,614,-11,38,23,0,292,858,11,99
country,Stuck Like Glue,Sugarland,702,795,-4,56,329,0,50,836,1,83
country,Strawberry Wine,Deana Carter,572,449,-6,26,314,0,30,207,1,122
country,Except for Monday,Lorrie Morgan,658,600,-11,32,81,0,63,886,7,170
country,Goodbye Says It All,BlackHawk,646,479,-9,26,56,0,51,674,8,137
country,How Country Feels,Randy Houser,678,839,-3,39,37,0,74,772,7,104
country,Don't Close Your Eyes,Keith Whitley,605,228,-16,26,703,1,93,285,7,78
country,Wagon Wheel,Darius Rucker,537,660,-7,29,455,0,135,574,9,148
country,Too Much Fun,Daryle Singletary,681,888,-4,65,124,0,573,797,7,151
country,This Cowboy's Hat,Chris LeDoux,493,297,-14,48,403,0,145,436,6,90
country,Made For You,Jake Owen,581,441,-6,26,770,0,111,337,1,82
country,Famous Friends,Chris Young,533,855,-2,35,55,0,335,640,6,102
country,Need You Now,Lady A,581,717,-4,31,29,0,243,316,4,107
country,I Try to Think About Elvis,Patty Loveless,620,697,-7,49,31,0,164,711,11,160
country,Trashy Women - Remastered Version,Confederate Railroad,639,795,-6,34,45,0,121,864,9,142
country,Pickin' Wildflowers,Keith Anderson,561,716,-3,29,35,0,122,667,8,152
country,Hell Of A View,Eric Church,689,582,-6,23,119,4,101,883,5,99
country,Why Didn't I Think Of That,Doug Stone,758,596,-7,28,440,0,132,859,2,121
country,Just Got Paid,Emerson Drive,608,798,-5,51,85,0,79,672,10,172
country,Keep It Between The Lines,Ricky Van Shelton,662,282,-11,24,651,0,94,377,5,89
country,Louisiana Saturday Night,Mel McDaniel,686,622,-7,85,532,0,51,982,2,163
country,All Over The Road,Easton Corbin,491,841,-3,42,47,0,88,721,5,199
country,Holes In The Floor Of Heaven,Steve Wariner,660,340,-10,27,540,0,80,384,1,108
country,Best Days of Your Life,Kellie Pickler,650,862,-5,56,23,0,72,541,9,127
country,Outskirts of Heaven,Craig Campbell,497,434,-5,29,333,0,108,266,0,115
country,Nothin' To Lose,Josh Gracin,607,876,-4,38,371,0,519,886,7,121
country,Meet Me In Montana,Dan Seals,661,389,-12,30,393,0,90,515,10,124
country,When She Cries,Restless Heart,666,521,-10,29,114,0,60,361,9,105
country,Why We Drink,Justin Moore,624,903,-3,34,8,0,309,724,6,116
country,If I Die Young,The Band Perry,606,497,-6,27,348,0,275,362,4,130
country,You Won't Ever Be Lonely,Andy Griggs,471,617,-8,38,52,0,229,491,8,182
country,Smoky Mountain Rain,Ronnie Milsap,554,577,-8,28,16,0,71,479,7,140
country,What Mattered Most,Ty Herndon,529,509,-8,25,415,0,171,270,0,142
country,In Color,Jamey Johnson,544,404,-8,35,391,0,157,251,3,129
country,Holding Her and Loving You,Earl Thomas Conley,640,317,-14,30,605,0,118,300,7,125
country,No One Else On Earth,Wynonna,775,861,-7,29,188,0,199,964,0,98
country,You Make It Easy,Jason Aldean,375,574,-5,31,143,0,110,406,7,132
country,Drink to That All Night,Jerrod Niemann,639,846,-6,43,32,0,116,475,9,115
country,Pour Me,Trick Pony,484,905,-3,135,93,0,286,767,10,182
