genre,name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
edm,Midnight (feat. Liam Payne),Alesso,587,648,-6,43,56,0,115,281,11,144
edm,Gotta Be You,NERVO,642,869,-5,45,252,28,70,376,6,123
edm,Ten Feet Tall,Afrojack,523,861,-3,64,33,0,144,346,0,127
edm,Nights With You,Nicky Romero,580,745,-4,48,383,0,250,612,8,150
edm,Bad,Don Diablo,791,738,-5,73,406,8,159,666,0,123
edm,Tinted Eyes (feat. blackbear & 24kGoldn),DVBBS,743,801,-4,34,5,0,178,381,5,121
edm,Get Low,Dillon Francis,674,932,-4,85,28,710,684,728,11,101
edm,Everything,3LAU,574,955,-4,38,8,16,230,148,10,120
edm,Back To Life,DubVision,554,864,-4,88,1,0,119,305,2,126
edm,Breathe (feat. kaspara),Syn Cole,753,749,-5,31,54,0,166,589,6,121
edm,Leave,Borgeous,762,665,-6,47,169,0,103,961,11,115
edm,I Found You,Cash Cash,646,761,-2,38,71,0,222,472,1,129
edm,This Time (Never Be Alone Again),Dada Life,627,871,-6,61,45,5,462,222,7,128
edm,She Wants Me Dead,CAZZETTE,703,837,-4,234,18,0,57,680,9,106
edm,Flip Reset,Kaskade,780,916,-4,69,1,193,61,426,1,126
edm,Kids (feat. MKLA),KSHMR,744,866,-4,106,10,53,528,302,9,128
edm,Getaway - Koven Remix,Tritonal,488,914,-2,223,4,0,158,222,6,172
edm,Flame,Sick Individuals,646,920,-3,46,23,0,296,413,11,128
edm,Save Me Tonight,ARTY,550,899,-3,45,11,0,137,408,5,125
edm,Reload - Radio Edit,Sebastian Ingrosso,485,724,-4,52,73,0,63,433,9,128
edm,Never Letting Go - Edit,Audien,530,765,-3,35,91,1,225,113,1,127
edm,Whistle (feat. Bertie Scott),Laidback Luke,832,922,-3,71,36,27,109,716,0,127
edm,Switch Back,Quintino,639,925,-5,36,0,942,341,183,6,128
edm,Bella Ciao - Mix Cut,Hardwell,614,900,-4,49,2,0,376,201,4,129
edm,Spotlight,Sander van Doorn,595,934,-5,64,41,0,147,272,10,101
edm,Astronomia,Vicetone,653,945,-2,96,5,915,439,325,5,126
edm,Alive,Krewella,671,827,-2,53,3,2,350,564,9,127
edm,New Vibe Who Dis (feat. Little League),Madison Mars,699,933,-3,175,160,0,196,646,10,123
edm,Run Away,Bassjackers,678,908,-5,60,4,15,107,320,8,129
edm,Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,Bingo Players,801,985,-2,64,20,0,297,720,7,127
edm,Five More Hours - Deorro x Chris Brown,Deorro,699,883,-3,219,28,0,817,499,5,127
edm,Show Me Love (feat. Robin S.),Steve Angello,635,882,-4,60,484,0,107,549,5,129
edm,Not So Bad (feat. Emie),Yves V,740,674,-4,47,9,238,154,231,11,126
edm,The Longest Road - deadmau5 Remix Edit,Morgan Page,699,737,-6,36,3,0,39,543,1,124
edm,Push It Right,MOTi,638,834,-5,36,9,20,323,438,7,124
edm,I Found You (Neptune),EDX,822,916,-4,55,20,11,74,894,1,124
edm,More Than You Know,Axwell /\ Ingrosso,646,741,-4,34,27,0,312,571,5,123
edm,Gecko (Overdrive) - Radio Edit,Oliver Heldens,609,885,-5,64,5,0,336,760,0,124
edm,Million Voices - Radio Edit,Otto Knows,582,894,-6,41,2,22,66,69,8,125
edm,Wait Another Day,Mike Williams,727,912,-3,37,27,0,118,671,8,126
edm,Bad Habit,Firebeatz,581,888,-6,38,1,0,98,291,2,124
edm,Don't You Worry Child - Radio Edit,Swedish House Mafia,614,832,-3,52,110,0,185,429,11,129
edm,No Lie,Michael Calfan,719,701,-9,41,66,121,97,136,1,122
edm,Voices (feat. TZAR),Brooks,668,726,-4,53,35,0,232,684,9,127
edm,Just Hold On,Steve Aoki,647,932,-3,82,3,0,57,374,11,114
