genre,name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
classical,"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",George Frideric Handel,93,33,-24,60,927,830,95,51,2,67
classical,"Goldberg Variations, BWV 988: Aria",Johann Sebastian Bach,454,13,-29,51,995,943,73,244,4,130
classical,"Clair de Lune, L. 32",Claude Debussy,335,5,-31,37,994,912,62,39,1,65
classical,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,184,5,-37,43,995,887,173,151,1,170
classical,Miroirs: III. Une barque sur l'océan,Maurice Ravel,170,47,-27,43,981,906,79,30,2,75
classical,"Nocturne No.2 In E Flat, Op.9 No.2",Frédéric Chopin,442,9,-32,47,984,936,87,92,3,79
classical,"Cello Concerto No. 1 in C Major, Hob. VIIb:1: II. Adagio",Franz Joseph Haydn,85,65,-24,57,972,889,87,68,5,61
classical,"Lyric Pieces, Book 5, Op. 54: Nocturne",Edvard Grieg,296,43,-29,41,987,857,78,30,0,72
classical,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",Wolfgang Amadeus Mozart,194,32,-28,38,982,961,91,59,5,144
classical,"8 Humoresques, Op. 101, B. 187: No. 7, Poco lento e grazioso (Transcribed by Oscar Morawetz for Violin, Cello & Orchestra)",Antonín Dvořák,182,60,-25,45,852,411,145,141,6,98
classical,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms,299,6,-30,47,994,901,82,63,9,69
classical,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Antonio Vivaldi,480,163,-19,64,810,754,93,212,5,158
classical,"Nabucco / Act 3: Va, pensiero, sull'ali dorate",Giuseppe Verdi,66,21,-24,39,984,685,99,132,1,73
classical,"Die Walkure, Act III: Ride of the Valkyries",Richard Wagner,251,219,-16,32,929,933,82,96,7,89
classical,"6 Impromptus, Op. 5: Impromptu VI",Jean Sibelius,448,5,-36,56,995,880,69,39,4,62
classical,Pini di Roma (The Pines of Rome): III. I pini del Gianiclo,Ottorino Respighi,75,10,-35,46,901,106,81,33,4,81
classical,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck,250,135,-18,48,958,34,47,179,9,94
classical,"Minuet in A Major, D. 334",Franz Schubert,273,5,-39,49,994,913,85,174,9,91
classical,"Gianni Schicchi: ""O mio Babbino caro""",Giacomo Puccini,112,196,-14,41,966,802,117,36,8,89
classical,"An der schönen blauen Donau, Op.314",Johann Strauss II,233,25,-24,34,975,601,143,93,2,94
classical,"Symphony No. 4 in E-Flat Major, WAB 104, ""Romantic"": I. Bewegt, nicht zu schnell - Live",Anton Bruckner,72,65,-19,40,947,866,109,36,3,70
classical,"4 Lieder, Op. 27, TrV 170: IV. Morgen! (Arr. for Cello and Piano by Julian Riem)",Richard Strauss,138,12,-28,52,992,787,71,34,5,174
classical,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1",Felix Mendelssohn,355,16,-28,39,995,926,98,92,3,67
classical,"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",Gustav Holst,290,130,-21,38,943,911,81,154,7,132
classical,"Violin Concerto No.1 in G minor, Op.26: 1. Vorspiel (Allegro moderato)",Max Bruch,169,97,-21,42,864,632,87,52,3,170
classical,The Lark Ascending,Ralph Vaughan Williams,81,12,-32,51,902,308,64,38,4,74
classical,"Cello Concerto in E Minor, Op.85 (1997 - Remaster): I. Adagio - Moderato",Edward Elgar,124,97,-22,43,952,218,112,43,4,96
classical,"Symphonie fantastique, Op. 14: Symphonie fantastique, Op. 14: IV. Marche au supplice",Hector Berlioz,356,207,-17,38,950,914,80,328,10,146
classical,3 Small Tone Poems: No. 1. Summer Evening,Frederick Delius,102,44,-23,38,972,771,64,33,2,90
classical,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",Franz Liszt,343,34,-25,40,991,920,100,37,8,60
classical,"Carnival of the Animals, R. 125: The Swan",Camille Saint-Saëns,211,7,-33,45,994,890,73,39,7,118
classical,Khachaturian: Spartacus (Highlights from the Ballet): Adagio of Spartacus and Phrygia,Aram Khachaturian,109,106,-21,39,820,816,102,33,8,88
classical,Gymnopédie No. 1,Erik Satie,469,12,-36,119,994,937,94,354,7,72
classical,"Fauré: Pavane in F-Sharp Minor, Op. 50",Gabriel Fauré,98,57,-24,45,984,904,122,39,6,70
classical,Adagio in G Minor,Tomaso Albinoni,99,279,-12,34,743,903,114,46,7,89
classical,Die Moldau,Bedřich Smetana,253,224,-12,32,937,880,116,107,7,76
classical,Barcarolle,Jacques Offenbach,238,81,-22,45,983,0,279,41,2,128
classical,Barber: Adagio for Strings,Samuel Barber,102,73,-24,48,974,859,280,30,10,73
classical,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto,Gustav Mahler,78,52,-23,47,896,945,80,32,5,82
classical,"Cello Concerto in C Major, G. 477: II. Largo",Luigi Boccherini,95,7,-36,42,920,28,106,53,5,70
classical,"Kinderszenen, Op. 15: No. 7 in F Major, Träumerei",Robert Schumann,500,12,-30,71,995,954,74,313,5,130
classical,Overture Candide,Leonard Bernstein,285,428,-11,43,852,506,114,480,3,159
classical,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,322,184,-18,33,984,902,81,356,0,107
