genre,name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
jazz,When Sunny Gets Blue,McCoy Tyner,427,114,-22,50,843,863,96,114,2,60
jazz,Infant Eyes - Remastered1998/Rudy Van Gelder Edition,Wayne Shorter,340,83,-12,42,985,761,94,119,3,138
jazz,Blue Bossa - Remastered,Joe Henderson,531,366,-11,49,911,880,91,785,5,81
jazz,Mirrors - Remastered 2004,Freddie Hubbard,406,208,-13,41,962,929,181,291,1,102
jazz,The Shadow of Your Smile,Dexter Gordon,556,35,-20,41,942,167,82,196,7,110
jazz,St. Thomas,Sonny Rollins,541,607,-8,43,727,442,99,754,0,104
jazz,My Foolish Heart,Bill Evans Trio,395,121,-23,32,935,397,697,139,9,114
jazz,Sandu,Clifford Brown,562,447,-9,63,633,125,88,471,8,68
jazz,Poinciana,Ahmad Jamal,553,90,-21,43,984,910,100,289,2,89
jazz,Polka Dots And Moonbeams - Remastered,Bud Powell,558,89,-17,64,946,924,96,130,2,100
jazz,"Right Back Round Again (feat. Brad Mehldau, Christian McBride & Brian Blade)",Joshua Redman,576,542,-10,34,683,827,51,565,6,124
jazz,"Mercy, Mercy, Mercy",Cannonball Adderley,568,261,-16,29,730,182,977,405,10,84
jazz,Song For My Father,Horace Silver,742,671,-8,40,794,4,122,591,5,127
jazz,Moanin' - Remastered,Art Blakey & The Jazz Messengers,602,283,-16,50,790,148,136,462,5,130
jazz,Stolen Moments,Oliver Nelson,575,187,-13,51,927,876,166,342,0,107
jazz,It Never Entered My Mind,Miles Davis Quintet,476,217,-10,30,892,0,96,121,8,116
jazz,I Remember Clifford - Rudy Van Gelder Edition; 2007 Digital Remaster,Lee Morgan,376,278,-8,41,912,886,72,199,0,62
jazz,'Round Midnight,Thelonious Monk,542,320,-9,38,907,649,60,206,8,116
jazz,On The Sunny Side Of The Street,Dizzy Gillespie,671,352,-11,55,532,0,110,396,0,120
jazz,Remember - Remastered,Hank Mobley,539,403,-9,53,794,0,278,699,8,165
jazz,Summertime,Charlie Parker,339,342,-7,31,962,319,162,393,7,132
jazz,Softly As In A Morning Sunrise,The Modern Jazz Quartet,634,327,-9,55,709,13,158,498,0,80
jazz,Blue Skies - 2000 Remastered Version,Art Tatum,548,151,-15,50,991,888,103,608,1,87
jazz,Alone Together - Rudy Van Gelder Remaster,Kenny Dorham,336,61,-20,36,985,891,110,197,5,60
jazz,I Remember You,Lee Konitz,564,305,-14,63,794,98,152,571,10,115
jazz,Bye Bye Blackbird,Ron Carter,557,236,-18,36,531,783,86,328,7,139
jazz,Strasbourg / St. Denis,Roy Hargrove,701,445,-10,83,149,590,96,405,1,103
jazz,There Will Never Be Another You,Lester Young,588,38,-17,60,978,823,116,342,0,83
jazz,I Got It Bad And That Ain't Good,Oscar Peterson Trio,488,52,-27,47,971,911,88,193,5,49
jazz,Dolphin Dance,Ahmad Jamal Trio,378,232,-18,30,870,948,100,155,0,148
jazz,Goodbye Pork Pie Hat,Charles Mingus,356,93,-16,35,957,96,209,278,8,86
jazz,Say It (Over And Over Again),John Coltrane Quartet,488,124,-13,40,963,333,246,205,3,66
jazz,Almost Like Being In Love,Red Garland,561,346,-12,40,873,399,104,697,0,93
jazz,Where or When,Wynton Marsalis,331,49,-17,40,990,905,334,331,4,124
jazz,A Day In The Life,Wes Montgomery,483,364,-10,26,564,299,54,349,9,98
jazz,Skating In Central Park,Bill Evans,478,29,-25,45,993,948,105,148,0,124
jazz,When Your Lover Has Gone - Instrumental,Art Farmer,488,87,-14,40,975,634,92,181,7,106
jazz,Au Privave,Sonny Stitt,490,476,-13,36,696,9,148,778,7,134
jazz,"No Problem - Pt. 1 / BOF ""Les liaisons dangereuses""",Art Blakey,376,660,-9,55,719,35,210,575,5,186
jazz,Misty - Remastered 2020,Erroll Garner,327,145,-20,39,945,884,91,136,5,178
jazz,Southbound,Chris Potter,408,430,-10,64,232,431,74,259,2,82
jazz,Cocktails For Two,Coleman Hawkins,591,125,-14,46,917,344,95,403,0,83
jazz,Angel Eyes - Studio,Tommy Flanagan,487,145,-18,52,876,822,149,142,5,110
jazz,Cool Struttin',Sonny Clark,580,480,-7,33,837,4,171,480,7,108
jazz,Sunday,Ben Webster,645,309,-16,41,686,0,243,824,0,104
jazz,Stella By Starlight,Joe Lovano,581,163,-16,54,926,861,116,448,0,88
jazz,You Go to My Head - 2007 Remastered Version,Art Pepper,585,149,-13,69,921,80,93,195,3,67
jazz,Take Five,The Dave Brubeck Quartet,454,260,-13,40,539,0,67,598,8,174
jazz,Maybe Tomorrow,Grant Green,520,165,-15,42,958,904,226,115,6,113
jazz,Chitlins Con Carne,Kenny Burrell,803,335,-13,45,579,12,84,786,8,132
jazz,Stormy Weather,Oscar Peterson,600,177,-16,56,989,869,149,560,7,120
jazz,Bags' Groove,Milt Jackson,500,251,-12,47,885,1,248,697,0,174
jazz,Blame It on My Youth,Brad Mehldau,420,98,-19,33,910,657,85,206,5,102
jazz,Work Song - Remastered,The Cannonball Adderley Quintet,502,312,-12,122,724,4,83,544,1,169
jazz,A Taste of Honey - Live,Paul Desmond,492,151,-18,42,918,3,110,215,5,124
jazz,My One And Only Love,John Coltrane,466,71,-17,37,984,0,107,196,0,121
jazz,Stardust,Gerry Mulligan,540,67,-18,39,966,779,101,316,1,84
jazz,Before It's Time to Say Goodbye,Kenny Garrett,364,114,-16,33,857,635,83,57,1,117
jazz,"Monk's Mood - Live At Carnegie Hall, New York/1957",Thelonious Monk Quartet,334,162,-17,43,981,686,422,104,5,68
jazz,Stardust,Bobby Hutcherson,349,33,-22,35,967,693,272,230,3,64
jazz,My Romance - Rudy Van Gelder Remaster,Gene Ammons,464,5,-22,60,945,904,139,297,1,95
jazz,Lonely Woman,Ornette Coleman,474,376,-10,28,315,0,147,253,9,81
jazz,Splanky,Count Basie,583,376,-10,43,725,251,64,614,6,120
jazz,Midnight Special - Rudy Van Gelder Digital Remaster/2007,Jimmy Smith,704,277,-11,35,814,756,84,322,0,90
jazz,You've Changed,Kurt Rosenwinkel,486,125,-19,35,988,804,115,207,0,112
jazz,Yams,Jackie McLean,571,293,-11,38,828,179,112,230,0,82
jazz,Sister Rosa,Christian McBride,446,468,-11,34,759,86,130,392,3,126
jazz,Young One for Debra,Jim Hall,338,13,-28,49,996,953,110,144,2,79
