genre,name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
r&b,Love,Keyshia Cole,688,519,-4,28,64,0,100,318,5,116
r&b,When I See U,Fantasia,569,596,-6,172,452,0,205,754,8,93
r&b,So Gone,Monica,618,552,-6,98,176,0,252,586,8,81
r&b,The Boy Is Mine,Brandy,704,707,-6,39,539,1,318,761,1,93
r&b,Officially Missing You,Tamia,476,407,-9,36,247,0,144,226,4,178
r&b,Weak,SWV,693,533,-10,40,107,0,69,568,2,127
r&b,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Donell Jones,854,543,-6,84,40,0,41,868,8,103
r&b,Pick Up Your Feelings,Jazmine Sullivan,758,413,-6,46,321,0,117,599,2,85
r&b,Love Like This,Faith Evans,767,551,-7,61,3,0,45,796,0,100
r&b,Pony,Ginuwine,728,537,-10,103,0,5,296,966,8,142
r&b,They Don't Know,Jon B.,699,388,-10,53,588,0,65,566,6,125
r&b,How You Gonna Act Like That,Tyrese,733,521,-3,45,107,0,69,525,3,112
r&b,Case Of The Ex (Whatcha Gonna Do),Mýa,772,688,-4,40,54,0,72,348,1,98
r&b,In My Bed - So So Def Mix,Dru Hill,873,590,-10,151,37,0,66,809,1,95
r&b,Just Kickin' It,Xscape,692,353,-12,61,57,0,579,730,1,80
r&b,Faded Pictures,Case,705,511,-7,202,125,0,153,581,6,82
r&b,Love and War,Tamar Braxton,270,580,-5,39,469,0,343,242,8,179
r&b,Where the Party At (feat. Nelly),Jagged Edge,596,661,-6,226,310,0,84,860,5,129
r&b,1 Thing,Amerie,612,961,-3,333,107,0,41,867,10,129
r&b,Put That Woman First,Jaheim,649,536,-8,132,492,0,184,513,5,78
r&b,Tired,Kelly Price,406,600,-8,51,2,0,701,165,5,121
r&b,Come and Talk to Me - Remix,Jodeci,720,657,-6,295,26,0,209,657,11,172
r&b,Read Your Mind,Avant,755,381,-6,71,291,0,97,695,8,73
r&b,It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,657,574,-9,40,16,0,172,211,1,119
r&b,Where My Girls At,702,705,725,-7,50,35,14,194,760,4,92
r&b,Ascension (Don't Ever Wonder) - Remastered 2021,Maxwell,762,459,-10,37,111,21,147,749,0,96
r&b,Don't Come Easy,Raheem DeVaughn,680,381,-10,225,862,0,98,215,11,71
r&b,Can't Raise a Man,K. Michelle,623,677,-5,63,23,0,72,182,5,151
r&b,Must Be Nice,Lyfe Jennings,447,401,-11,378,657,0,127,644,3,82
r&b,Un-Break My Heart - Classic Radio Mix,Toni Braxton,764,966,-6,50,105,0,120,353,0,122
r&b,Are You That Somebody?,Aaliyah,854,658,-6,170,154,9,102,855,9,137
r&b,I Wish,Carl Thomas,736,666,-4,33,59,0,107,224,1,89
r&b,Far Away,Marsha Ambrosius,433,668,-6,211,221,0,126,351,9,70
r&b,I Wanna Know,Joe,725,487,-5,36,260,0,431,599,8,136
r&b,Freak Me,Silk,697,608,-10,46,29,0,276,725,4,133
r&b,Let's Get Down,Tony! Toni! Toné!,907,645,-4,97,43,0,180,562,7,103
r&b,A Couple Of Forevers,Chrisette Michele,494,452,-6,30,193,0,89,173,10,116
r&b,Best of Me,Anthony Hamilton,742,728,-6,31,9,0,134,697,10,96
r&b,Oops (Oh My) [feat. Missy Elliott],Tweet,660,536,-8,290,233,6,111,775,10,159
r&b,Motivation,Kelly Rowland,744,672,-5,41,187,0,105,266,9,140
r&b,Just Friends (Sunny),Musiq Soulchild,754,376,-7,204,404,0,358,554,0,95
r&b,Blurred Lines,Robin Thicke,853,599,-4,41,3,0,75,843,7,119
r&b,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,672,520,-9,40,98,0,36,551,7,137
r&b,Can't You See (feat. The Notorious B.I.G.),Total,744,574,-9,65,165,0,295,805,8,86
r&b,Gonna Love Me,Teyana Taylor,514,506,-7,280,402,0,191,312,10,88
r&b,Family Affair,Mary J. Blige,911,551,-3,44,132,0,86,969,8,92
r&b,Nothing In This World,KeKe Wyatt,700,630,-3,44,195,0,34,399,6,131
r&b,Knockin' da Boots,H-Town,726,501,-13,154,155,0,89,582,1,128
r&b,Get Right Back To My Baby,Vivian Green,700,742,-4,59,22,0,65,766,11,103
r&b,Say Yes,Floetry,747,398,-12,74,211,0,113,428,5,117
r&b,Come Over,Changing Faces,743,473,-9,56,425,0,183,560,5,109
r&b,Too Close,Next,847,402,-9,64,11,0,283,752,7,99
r&b,I Like It,Sammie,826,656,-8,61,10,0,27,852,9,129
r&b,There Goes My Baby,Charlie Wilson,596,827,-4,54,84,0,382,662,5,81
r&b,Freak Like Me,Adina Howard,655,837,-6,72,26,0,45,660,11,91
r&b,Bed,J. Holiday,684,606,-7,50,170,0,58,723,5,127
r&b,Lay It Down,Lloyd,527,796,-5,62,17,0,79,534,1,155
r&b,Don't Mess With My Man (feat. Brian Casey & Brandon Casey),Nivea,879,730,-4,164,114,0,241,885,11,99
r&b,Monday Morning,Melanie Fiona,692,680,-6,156,5,0,327,936,3,90
r&b,Let Me Love You,Mario,686,588,-8,55,178,0,95,617,7,94
r&b,No Diggity,Blackstreet,867,646,-4,288,303,0,279,670,1,88
