genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
jazz,When Sunny Gets Blue,0.427,0.114,-22.546,0.0509,0.843,0.863,0.0966,0.114,2,60.484
jazz,Infant Eyes - Remastered1998/Rudy Van Gelder Edition,0.34,0.0837,-12.072,0.042,0.985,0.761,0.0945,0.119,3,138.689
jazz,Blue Bossa - Remastered,0.531,0.366,-11.697,0.0496,0.911,0.88,0.0916,0.785,5,81.867
jazz,Mirrors - Remastered 2004,0.406,0.208,-13.767,0.0413,0.962,0.929,0.181,0.291,1,102.778
jazz,The Shadow of Your Smile,0.556,0.0352,-20.86,0.0419,0.942,0.167,0.082,0.196,7,110.646
jazz,St. Thomas,0.541,0.607,-8.435,0.0438,0.727,0.442,0.0997,0.754,0,104.96
jazz,My Foolish Heart,0.395,0.121,-23.427,0.0327,0.935,0.397,0.697,0.139,9,114.521
jazz,Sandu,0.562,0.447,-9.363,0.0636,0.633,0.125,0.0884,0.471,8,68.957
jazz,Poinciana,0.553,0.0902,-21.491,0.043,0.984,0.91,0.1,0.289,2,89.369
jazz,Polka Dots And Moonbeams - Remastered,0.558,0.0891,-17.633,0.0643,0.946,0.924,0.0966,0.13,2,100.523
jazz,"Right Back Round Again (feat. Brad Mehldau, Christian McBride & Brian Blade)",0.576,0.542,-10.167,0.0344,0.683,0.827,0.0513,0.565,6,124.019
jazz,"Mercy, Mercy, Mercy",0.568,0.261,-16.72,0.0292,0.73,0.182,0.977,0.405,10,84.463
jazz,Song For My Father,0.742,0.671,-8.142,0.0407,0.794,0.00441,0.122,0.591,5,127.359
jazz,Moanin' - Remastered,0.602,0.283,-16.768,0.0505,0.79,0.148,0.136,0.462,5,130.667
jazz,Stolen Moments,0.575,0.187,-13.081,0.0513,0.927,0.876,0.166,0.342,0,107.469
jazz,It Never Entered My Mind,0.476,0.217,-10.75,0.0308,0.892,6.09e-05,0.0966,0.121,8,116.079
jazz,I Remember Clifford - Rudy Van Gelder Edition; 2007 Digital Remaster,0.376,0.278,-8.597,0.0416,0.912,0.886,0.0728,0.199,0,62.055
jazz,'Round Midnight,0.542,0.32,-9.975,0.0387,0.907,0.649,0.0609,0.206,8,116.648
jazz,On The Sunny Side Of The Street,0.671,0.352,-11.511,0.0556,0.532,0.000141,0.11,0.396,0,120.235
jazz,Remember - Remastered,0.539,0.403,-9.168,0.0531,0.794,0.000613,0.278,0.699,8,165.301
jazz,Summertime,0.339,0.342,-7.596,0.0313,0.962,0.319,0.162,0.393,7,132.599
jazz,Softly As In A Morning Sunrise,0.634,0.327,-9.703,0.0551,0.709,0.0131,0.158,0.498,0,80.825
jazz,Blue Skies - 2000 Remastered Version,0.548,0.151,-15.243,0.0501,0.991,0.888,0.103,0.608,1,87.964
jazz,Alone Together - Rudy Van Gelder Remaster,0.336,0.0619,-20.494,0.0363,0.985,0.891,0.11,0.197,5,60.705
