genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
lo-fi,Flight,0.594,0.411,-10.301,0.07,0.206,0.925,0.0993,0.312,11,84.844
lo-fi,Sundown,0.654,0.534,-12.993,0.0372,0.568,0.886,0.115,0.187,10,156.034
lo-fi,Cascade,0.235,0.444,-14.241,0.0663,0.848,0.961,0.113,0.0376,9,50.109
lo-fi,Blue and Green,0.638,0.0389,-17.75,0.115,0.897,0.849,0.0731,0.48,1,79.888
lo-fi,Mirage,0.74,0.329,-7.677,0.0469,0.109,0.888,0.139,0.511,11,172.08
lo-fi,Redux,0.713,0.19,-15.586,0.0625,0.896,0.923,0.0963,0.29,7,78.018
lo-fi,sand castles,0.784,0.312,-14.648,0.0513,0.576,0.851,0.128,0.63,4,129.94
lo-fi,Troubadix,0.59,0.342,-9.107,0.272,0.423,0.896,0.128,0.227,0,77.336
lo-fi,It's Raining,0.511,0.371,-10.329,0.0575,0.701,0.81,0.0514,0.422,4,81.138
lo-fi,Every Second,0.693,0.164,-11.554,0.0947,0.838,0.872,0.0895,0.164,9,74.026
lo-fi,thinking of you,0.798,0.0841,-12.673,0.209,0.487,0.8,0.239,0.506,11,160.038
lo-fi,Sweet Moments,0.85,0.277,-17.852,0.0627,0.0737,0.886,0.0906,0.955,5,156.05
lo-fi,Dream Sequence,0.375,0.439,-11.099,0.0645,0.8,0.812,0.473,0.464,6,121.198
lo-fi,Good Night,0.533,0.165,-14.879,0.0396,0.929,0.937,0.105,0.189,2,122.064
lo-fi,Endless Ether,0.673,0.377,-17.186,0.0421,0.844,0.89,0.112,0.135,10,126.911
lo-fi,Got Ur Money,0.685,0.27,-10.887,0.0371,0.783,0.812,0.0844,0.379,9,118.149
lo-fi,Jakarta,0.659,0.176,-17.578,0.354,0.933,0.883,0.102,0.184,10,76.99
lo-fi,fyrsta,0.753,0.281,-11.438,0.065,0.73,0.901,0.0906,0.546,2,83.021
lo-fi,Levitating,0.403,0.294,-14.574,0.069,0.612,0.916,0.429,0.385,0,65.526
lo-fi,All I Ever Wanted,0.569,0.342,-18.589,0.0472,0.771,0.907,0.078,0.0377,9,158.02
lo-fi,Floating,0.721,0.266,-13.768,0.242,0.127,0.949,0.117,0.795,9,85.18
lo-fi,Effervescent,0.811,0.143,-11.052,0.137,0.567,0.919,0.113,0.442,0,167.923
lo-fi,send me a song,0.75,0.161,-15.377,0.151,0.885,0.894,0.108,0.51,10,139.783
lo-fi,Law,0.606,0.554,-8.965,0.0583,0.863,0.738,0.0943,0.537,11,79.983
lo-fi,Shangri-La,0.748,0.65,-7.356,0.0691,0.884,0.877,0.0739,0.61,4,160.069
lo-fi,Purpose,0.5,0.264,-14.8,0.0332,0.93,0.925,0.372,0.356,2,75.973
lo-fi,sekao,0.616,0.375,-16.921,0.0405,0.905,0.896,0.332,0.333,5,159.972
lo-fi,Hands Free,0.741,0.0753,-12.26,0.166,0.243,0.868,0.105,0.308,4,148.072
lo-fi,Stay With Me,0.437,0.0862,-22.266,0.149,0.94,0.949,0.122,0.373,0,70.02
lo-fi,Joan of Arc.,0.429,0.272,-16.095,0.0314,0.745,0.87,0.103,0.0531,7,90.785
lo-fi,Up,0.622,0.288,-11.267,0.041,0.877,0.948,0.0826,0.398,2,79.972
lo-fi,With U,0.469,0.309,-11.858,0.0341,0.863,0.809,0.0923,0.185,1,90.062
lo-fi,Blue Lounge,0.8,0.307,-10.335,0.0567,0.481,0.837,0.11,0.196,5,80.01
lo-fi,Divine,0.69,0.555,-7.028,0.0567,0.00227,0.717,0.911,0.802,1,91.027
lo-fi,Proud of You,0.82,0.281,-15.194,0.0802,0.869,0.961,0.0925,0.62,8,104.988
lo-fi,Homecoming,0.691,0.369,-12.113,0.0623,0.82,0.941,0.0881,0.278,4,77.018
lo-fi,feather light melodies,0.735,0.456,-12.937,0.0524,0.949,0.878,0.118,0.708,3,147.97
lo-fi,sheets,0.75,0.54,-8.122,0.0993,0.496,0.89,0.158,0.313,3,77.965
lo-fi,Magnolia,0.666,0.35,-14.616,0.0722,0.842,0.946,0.0817,0.113,5,79.998
lo-fi,Compassion,0.595,0.19,-11.633,0.0401,0.725,0.901,0.124,0.0365,11,144.02
lo-fi,Almost Home,0.586,0.0687,-19.177,0.0518,0.873,0.921,0.0801,0.353,4,85.091
lo-fi,coffee on the beach.,0.857,0.403,-11.405,0.0438,0.866,0.944,0.115,0.225,8,137.948
lo-fi,Calcium,0.866,0.236,-10.443,0.0662,0.782,0.935,0.144,0.552,2,80.031
lo-fi,Violet,0.757,0.265,-14.472,0.369,0.822,0.803,0.358,0.534,1,71.961
lo-fi,quilted hills,0.816,0.241,-7.772,0.107,0.866,0.933,0.154,0.759,6,148.229
lo-fi,"sincerely, yours",0.605,0.396,-11.301,0.0509,0.8,0.872,0.141,0.622,5,80.957
lo-fi,just you,0.554,0.185,-14.328,0.0649,0.951,0.913,0.114,0.34,1,172.129
lo-fi,please do,0.794,0.185,-10.392,0.0623,0.912,0.916,0.128,0.609,8,80.012
lo-fi,More Life,0.707,0.258,-10.653,0.0551,0.692,0.775,0.131,0.257,11,90.03
lo-fi,Flightmode On,0.889,0.405,-13.136,0.152,0.425,0.796,0.117,0.187,6,115.105
