genre,name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
metal,Abigail - Reissue,King Diamond,317,937,-5,65,1,723,352,559,9,146
metal,Elimination,Overkill,302,805,-11,96,0,0,151,578,6,112
metal,Evil,Mercyful Fate,282,905,-9,114,0,375,89,554,0,133
metal,Watching over Me - Remixed & Remastered,Iced Earth,508,852,-7,71,1,0,363,184,6,129
metal,Alison Hell,Annihilator,365,978,-6,69,0,2,206,108,9,101
metal,Black Metal,Venom,291,758,-12,55,0,0,291,446,1,80
metal,666 - World Divided,Kreator,445,959,-5,61,0,6,178,365,7,97
metal,Breaking the Law,Judas Priest,362,961,-5,85,24,0,159,491,2,164
metal,Return to Serenity,Testament,294,613,-10,38,235,0,139,228,1,112
metal,Blacklist,Exodus,534,969,-3,53,0,564,269,598,3,75
metal,Metal Church,Metal Church,428,947,-8,75,0,56,262,223,10,102
metal,Balls to the Wall,Accept,544,739,-7,51,3,0,168,328,9,118
metal,Holy Diver,Dio,473,783,-10,86,12,475,268,124,10,91
metal,Solitude,Candlemass,229,704,-4,34,0,0,150,179,9,74
metal,Princess of the Night - 2009 Remastered Version,Saxon,362,797,-8,42,3,0,66,753,3,107
metal,Agent Orange,Sodom,262,988,-4,117,0,733,210,259,4,113
metal,Under Jolly Roger,Running Wild,240,958,-10,100,0,35,769,71,11,161
metal,Hall of the Mountain King,Savatage,355,922,-7,103,136,13,265,276,0,126
metal,I Want Out,Helloween,477,859,-8,38,0,0,265,629,0,91
metal,Madhouse,Anthrax,329,885,-10,90,24,4,735,481,9,163
metal,Till the Day I Die,Halford,520,724,-8,36,19,163,137,421,1,90
metal,Am I Evil?,Diamond Head,242,973,-4,148,0,820,121,369,8,148
metal,Tears of the Dragon - 2001 Remastered Version,Bruce Dickinson,496,620,-7,26,3,0,114,279,4,140
metal,The Moth,Death Angel,175,969,-4,87,0,85,88,295,1,192
metal,Believe in Nothing,Nevermore,437,891,-4,32,0,0,53,444,8,133
metal,Symphony Of Destruction,Megadeth,610,891,-5,58,0,92,65,510,4,139
metal,Bible Black,Heaven & Hell,340,783,-6,39,4,0,81,312,1,81
