genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
pop,Baila Conmigo (with Rauw Alejandro),0.823,0.544,-7.132,0.0715,0.0215,0.00315,0.0966,0.664,5,149.903
pop,Met Him Last Night (feat. Ariana Grande),0.538,0.512,-4.548,0.0262,0.22,0,0.101,0.12,4,144.978
pop,Scars To Your Beautiful,0.573,0.739,-5.74,0.129,0.0285,0,0.111,0.451,0,97.085
pop,Dusk Till Dawn (feat. Sia) - Radio Edit,0.259,0.437,-6.589,0.0386,0.102,1.32e-06,0.106,0.0951,11,180.042
pop,Havana (feat. Young Thug),0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,2,104.988
pop,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.664,0.708,-4.154,0.0474,0.0337,0,0.0841,0.742,8,103.07
pop,Work from Home (feat. Ty Dolla $ign),0.803,0.585,-5.861,0.0432,0.103,3.94e-06,0.0644,0.593,8,105.017
pop,Issues,0.728,0.415,-6.852,0.0639,0.401,0,0.0616,0.455,8,114.145
pop,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.262,0.606,-6.646,0.0484,0.247,0,0.125,0.275,8,189.857
pop,Without Me,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,6,136.041
pop,Lush Life,0.694,0.712,-3.923,0.046,0.133,0,0.211,0.799,7,98.022
pop,Big (feat. Gunna),0.781,0.843,-3.445,0.0349,0.0672,1.27e-06,0.0637,0.616,7,111.992
pop,Sucker,0.842,0.734,-5.065,0.0588,0.0427,0,0.106,0.952,1,137.958
pop,Meant to Be (feat. Florida Georgia Line),0.642,0.772,-6.61,0.0848,0.0476,0,0.0646,0.589,10,153.995
pop,Strawberries & Cigarettes,0.578,0.537,-8.676,0.0832,0.162,0,0.076,0.25,9,83.909
pop,Spaceman,0.548,0.601,-7.366,0.235,0.324,0,0.107,0.358,5,155.554
pop,Selfish,0.375,0.461,-6.202,0.0279,0.627,0,0.386,0.233,9,75.217
pop,hate u love u,0.407,0.416,-8.915,0.174,0.656,0,0.0981,0.246,6,176.947
pop,feel something,0.74,0.415,-8.914,0.0707,0.242,0.000156,0.319,0.156,0,136.029
pop,Bang Bang,0.706,0.783,-3.441,0.1,0.315,0,0.373,0.739,0,150.045
pop,Somebody To You,0.526,0.818,-5.952,0.0358,0.0587,0,0.333,0.896,3,171.96
pop,Cake By The Ocean,0.774,0.753,-5.446,0.0517,0.152,0,0.0371,0.896,4,119.002
pop,Habits (Stay High),0.729,0.65,-3.539,0.0313,0.0702,6.69e-05,0.0829,0.347,5,110.02
pop,2002,0.697,0.683,-2.881,0.117,0.0372,0,0.137,0.603,1,96.133
pop,Sweet Melody,0.448,0.824,-4.249,0.057,0.0739,0,0.113,0.419,5,119.965
pop,Teeth,0.749,0.461,-2.961,0.0416,0.0516,6.24e-06,0.0738,0.42,10,139.02
pop,Black And White,0.443,0.582,-6.02,0.0482,0.0301,0,0.127,0.239,2,147.589
pop,The Middle,0.753,0.657,-3.061,0.0449,0.171,0,0.112,0.437,7,107.01
pop,Love You Like A Love Song,0.858,0.678,-3.87,0.0469,0.0761,0,0.0741,0.922,1,117.009
pop,July,0.708,0.186,-8.953,0.042,0.868,0,0.0779,0.322,9,72.541
pop,Like I'm Gonna Lose You (feat. John Legend),0.63,0.53,-7.259,0.0434,0.4,0,0.177,0.417,0,108.038
pop,I.F.L.Y.,0.812,0.519,-4.823,0.0385,0.379,0,0.13,0.554,2,104.954
pop,TiK ToK,0.755,0.837,-2.718,0.142,0.0991,0,0.289,0.714,2,120.028
pop,Prisoner (feat. Dua Lipa),0.781,0.67,-3.912,0.0452,0.0103,0,0.0761,0.595,3,127.99
pop,Skin,0.557,0.457,-5.372,0.0335,0.428,0,0.0567,0.328,7,105.918
pop,I Like Me Better,0.752,0.505,-7.621,0.253,0.535,2.55e-06,0.104,0.419,9,91.97
pop,Strip That Down (feat. Quavo),0.873,0.495,-5.446,0.0518,0.199,0,0.0805,0.546,6,106.033
pop,you broke me first,0.667,0.373,-9.389,0.05,0.785,0,0.0906,0.0823,4,124.148
pop,Tick Tock (feat. 24kGoldn),0.779,0.705,-3.895,0.0344,0.369,7.91e-06,0.124,0.946,0,101.022
pop,Señorita,0.759,0.548,-6.049,0.029,0.0392,0,0.0828,0.749,9,116.967
pop,Bitter,0.724,0.594,-7.126,0.102,0.393,0.00116,0.0889,0.413,6,136.002
pop,We Don't Talk Anymore (feat. Selena Gomez),0.728,0.563,-8.053,0.134,0.621,0,0.179,0.352,1,100.017
pop,Hurts So Good,0.672,0.625,-5.068,0.0468,0.0774,0,0.0934,0.423,7,120.038
pop,Painkiller,0.683,0.42,-6.51,0.0542,0.0875,0,0.225,0.469,5,128.621
pop,Fallin’ (Adrenaline),0.606,0.9,-4.504,0.119,0.0101,0,0.075,0.233,0,133.963
pop,Dancing With Your Ghost,0.629,0.327,-8.285,0.029,0.761,2.96e-05,0.103,0.381,11,74.953
pop,Don't Call Me Up,0.674,0.881,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,9,98.994
pop,Because of You,0.587,0.583,-5.284,0.0313,0.248,0,0.124,0.15,5,139.92
pop,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,0.696,0.686,-6.113,0.0309,0.262,0,0.174,0.7,5,115.982
pop,Last Friday Night (T.G.I.F.),0.652,0.812,-3.797,0.0409,0.00125,3.01e-05,0.667,0.72,3,126.023
