genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
r&b,Love,0.688,0.519,-4.285,0.0283,0.064,0,0.1,0.318,5,116.714
r&b,When I See U,0.569,0.596,-6.486,0.172,0.452,7.92e-05,0.205,0.754,8,93.135
r&b,So Gone,0.618,0.552,-6.863,0.0981,0.176,0,0.252,0.586,8,81.975
r&b,The Boy Is Mine,0.704,0.707,-6.537,0.0391,0.539,0.00106,0.318,0.761,1,93.145
r&b,Officially Missing You,0.476,0.407,-9.239,0.0368,0.247,0,0.144,0.226,4,178.258
r&b,Weak,0.693,0.533,-10.954,0.0402,0.107,0,0.0695,0.568,2,127.661
r&b,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",0.854,0.543,-6.166,0.0844,0.0402,5.73e-05,0.0419,0.868,8,103.032
r&b,Pick Up Your Feelings,0.758,0.413,-6.239,0.0464,0.321,0,0.117,0.599,2,85.46
r&b,Love Like This,0.767,0.551,-7.328,0.0616,0.00364,0,0.0451,0.796,0,100.904
r&b,Pony,0.728,0.537,-10.66,0.103,0.000767,0.00529,0.296,0.966,8,142.029
r&b,They Don't Know,0.699,0.388,-10.722,0.0531,0.588,1.98e-06,0.0658,0.566,6,125.858
r&b,How You Gonna Act Like That,0.733,0.521,-3.657,0.0457,0.107,0,0.0692,0.525,3,112.913
r&b,Case Of The Ex (Whatcha Gonna Do),0.772,0.688,-4.715,0.0405,0.0548,9.79e-05,0.0725,0.348,1,98.0
r&b,In My Bed - So So Def Mix,0.873,0.59,-10.046,0.151,0.0376,0,0.0666,0.809,1,95.066
r&b,Just Kickin' It,0.692,0.353,-12.872,0.0613,0.0571,2.26e-05,0.579,0.73,1,80.902
r&b,Faded Pictures,0.705,0.511,-7.422,0.202,0.125,1.72e-06,0.153,0.581,6,82.011
r&b,Love and War,0.27,0.58,-5.717,0.039,0.469,0,0.343,0.242,8,179.919
r&b,Where the Party At (feat. Nelly),0.596,0.661,-6.239,0.226,0.31,0,0.0847,0.86,5,129.491
r&b,1 Thing,0.612,0.961,-3.078,0.333,0.107,4.17e-05,0.0413,0.867,10,129.873
r&b,Put That Woman First,0.649,0.536,-8.804,0.132,0.492,0,0.184,0.513,5,78.935
r&b,Tired,0.406,0.6,-8.237,0.0519,0.00207,1.99e-06,0.701,0.165,5,121.507
r&b,Come and Talk to Me - Remix,0.72,0.657,-6.823,0.295,0.0262,2.33e-06,0.209,0.657,11,172.168
r&b,Read Your Mind,0.755,0.381,-6.696,0.0711,0.291,5.13e-06,0.0974,0.695,8,73.108
r&b,It Won't Stop (feat. Chris Brown) - EP Version,0.657,0.574,-9.484,0.0407,0.016,8.1e-05,0.172,0.211,1,119.992
r&b,Where My Girls At,0.705,0.725,-7.435,0.0506,0.0352,0.0149,0.194,0.76,4,92.186
r&b,Ascension (Don't Ever Wonder) - Remastered 2021,0.762,0.459,-10.307,0.0379,0.111,0.0219,0.147,0.749,0,96.069
r&b,Don't Come Easy,0.68,0.381,-10.084,0.225,0.862,3.72e-06,0.0985,0.215,11,71.448
r&b,Can't Raise a Man,0.623,0.677,-5.215,0.0639,0.0233,0,0.0724,0.182,5,151.804
r&b,Must Be Nice,0.447,0.401,-11.232,0.378,0.657,0,0.127,0.644,3,82.235
r&b,Un-Break My Heart - Classic Radio Mix,0.764,0.966,-6.286,0.0506,0.105,4.34e-05,0.12,0.353,0,122.674
r&b,Are You That Somebody?,0.854,0.658,-6.932,0.17,0.154,0.00914,0.102,0.855,9,137.949
r&b,I Wish,0.736,0.666,-4.929,0.0337,0.0593,3.82e-05,0.107,0.224,1,89.824
r&b,Far Away,0.433,0.668,-6.544,0.211,0.221,0,0.126,0.351,9,70.478
r&b,I Wanna Know,0.725,0.487,-5.959,0.0368,0.26,1.09e-05,0.431,0.599,8,136.086
r&b,Freak Me,0.697,0.608,-10.976,0.0463,0.0295,0,0.276,0.725,4,133.879
r&b,Let's Get Down,0.907,0.645,-4.38,0.0976,0.043,0,0.18,0.562,7,103.312
r&b,A Couple Of Forevers,0.494,0.452,-6.724,0.0308,0.193,0,0.089,0.173,10,116.293
r&b,Best of Me,0.742,0.728,-6.626,0.0315,0.00962,3.73e-05,0.134,0.697,10,96.01
r&b,Oops (Oh My) [feat. Missy Elliott],0.66,0.536,-8.786,0.29,0.233,0.00669,0.111,0.775,10,159.963
r&b,Motivation,0.744,0.672,-5.589,0.0418,0.187,0.000123,0.105,0.266,9,140.889
r&b,Just Friends (Sunny),0.754,0.376,-7.561,0.204,0.404,0,0.358,0.554,0,95.018
r&b,Blurred Lines,0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,0.843,7,119.993
r&b,Breakin' My Heart (Pretty Brown Eyes),0.672,0.52,-9.965,0.0407,0.0985,1.28e-06,0.0365,0.551,7,137.213
r&b,Can't You See (feat. The Notorious B.I.G.),0.744,0.574,-9.445,0.0651,0.165,1.27e-05,0.295,0.805,8,86.278
r&b,Gonna Love Me,0.514,0.506,-7.095,0.28,0.402,2.56e-05,0.191,0.312,10,88.044
r&b,Family Affair,0.911,0.551,-3.75,0.0449,0.132,4.12e-05,0.0863,0.969,8,92.887
r&b,Nothing In This World,0.7,0.63,-3.344,0.0444,0.195,0,0.034,0.399,6,131.95
r&b,Knockin' da Boots,0.726,0.501,-13.884,0.154,0.155,0,0.0893,0.582,1,128.099
r&b,Get Right Back To My Baby,0.7,0.742,-4.265,0.0591,0.0223,0,0.0651,0.766,11,103.88
r&b,Say Yes,0.747,0.398,-12.932,0.0743,0.211,1.42e-06,0.113,0.428,5,117.901
