genre,name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
rap,Unforgettable,French Montana,726,769,-5,123,29,10,104,733,6,97
rap,Going Bad (feat. Drake),Meek Mill,889,496,-6,90,259,0,252,544,4,86
rap,Wake Up in the Sky,Gucci Mane,800,578,-5,48,3,0,367,367,4,143
rap,It's A Vibe,2 Chainz,822,502,-7,148,31,0,114,525,7,73
rap,POPSTAR (feat. Drake),DJ Khaled,800,560,-4,261,57,0,134,450,5,163
rap,Wolves (feat. Post Malone),Big Sean,724,675,-5,86,97,0,351,325,2,160
rap,Plain Jane,A$AP Ferg,797,844,-5,275,65,0,87,520,11,170
rap,See You Again (feat. Charlie Puth),Wiz Khalifa,689,481,-7,81,369,0,64,283,10,80
rap,"Go Loko (feat. Tyga, Jon Z)",YG,880,670,-5,46,325,0,66,131,2,101
rap,Aston Martin Music,Rick Ross,570,580,-5,210,12,0,49,404,1,171
rap,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,760,595,-6,39,5,0,241,361,1,131
rap,Trophies,Young Money,746,687,-7,382,155,0,137,283,1,143
rap,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,645,705,-5,299,0,0,128,376,1,137
rap,Lotus Flower Bomb (feat. Miguel),Wale,512,598,-4,115,611,0,88,345,9,70
rap,"Shell Shocked (feat. Kill The Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""",Juicy J,596,815,-5,75,11,0,174,459,6,165
rap,Into You (feat. Tamia) - Main Mix,Fabolous,681,529,-7,34,201,0,184,568,7,91
rap,Collard Greens,ScHoolboy Q,825,575,-4,63,25,0,205,650,11,153
rap,Ballin' (with Roddy Ricch),Mustard,809,545,-6,73,392,0,151,244,7,97
rap,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,854,569,-8,106,60,81,100,294,5,80
rap,Rake It Up (feat. Nicki Minaj),Yo Gotti,910,444,-8,344,22,0,137,530,1,149
rap,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,502,786,-4,317,255,0,650,739,9,169
rap,Live Your Life,T.I.,375,862,-3,255,71,0,211,478,11,159
rap,23,Mike WiLL Made-It,859,599,-5,61,0,0,130,319,9,140
rap,Hate It Or Love It,The Game,802,785,-4,207,140,0,123,435,9,99
rap,The London (feat. J. Cole & Travis Scott),Young Thug,784,517,-8,209,24,0,155,206,4,97
rap,The Count (feat. Wiz Khalifa),Curren$y,385,757,-5,167,709,0,235,469,0,82
rap,Put On,Jeezy,654,770,-6,35,3,0,88,272,9,137
rap,Baby (Lil Baby feat. DaBaby),Quality Control,970,463,-7,366,95,0,151,460,10,108
rap,Trouble On My Mind,Pusha T,645,785,-6,365,70,0,380,673,6,172
rap,Space Cadet (feat. Gunna),Metro Boomin,901,464,-9,64,368,0,238,638,5,109
rap,Ric Flair Drip (& Metro Boomin),Offset,880,428,-8,206,149,0,114,333,9,100
rap,Yamborghini High (feat. Juicy J),A$AP Mob,838,765,-6,280,28,0,77,635,7,137
rap,Bad and Boujee (feat. Lil Uzi Vert),Migos,927,665,-5,244,61,0,123,175,11,127
rap,Come Get Her,Rae Sremmurd,689,564,-6,136,187,0,72,123,2,185
rap,No Role Modelz,J. Cole,692,521,-8,330,301,0,56,463,10,100
rap,FLIP THE SWITCH (feat. Drake),Quavo,853,637,-5,331,129,0,267,496,3,86
rap,Love Sosa,Chief Keef,772,413,-8,89,36,0,111,211,0,131
rap,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,835,707,-5,59,21,0,108,919,8,93
rap,Grinding All My Life,Nipsey Hussle,600,716,-5,384,49,0,109,246,3,180
rap,Taste (feat. Offset),Tyga,866,613,-6,151,29,0,104,359,0,98
rap,Drankin N Smokin,Future,752,658,-6,342,42,0,92,387,0,151
rap,Love Is Only a Feeling,Joey Bada$$,629,676,-7,191,530,0,701,497,1,90
rap,Broke In A Minute,Tory Lanez,929,700,-5,90,144,0,349,802,0,120
rap,Stuntin' Like My Daddy - Street,Birdman,710,881,-6,39,9,0,162,809,5,160
rap,We Ball,Ace Hood,752,525,-9,248,252,0,115,151,10,154
rap,Chucky Cheese,MadeinTYO,890,542,-4,314,523,0,123,565,10,78
rap,Show Me (feat. Chris Brown),Kid Ink,711,508,-7,49,35,0,141,665,7,98
rap,Saint,Huncho Jack,866,648,-3,54,9,0,96,79,1,150
rap,Plug Walk,Rich The Kid,876,519,-6,143,202,0,108,158,11,94
rap,HUMBLE.,Kendrick Lamar,908,621,-6,102,0,0,95,421,1,150
rap,Lottery (Renegade) - Bonus Track,K CAMP,919,547,-8,207,22,0,73,607,1,148
rap,ZEZE (feat. Travis Scott & Offset),Kodak Black,861,603,-5,176,52,0,92,504,8,98
rap,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,726,607,-7,49,38,0,190,891,2,81
rap,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,830,625,-3,57,226,0,302,884,5,138
rap,Country Sh*t (Remix),Big K.R.I.T.,732,572,-6,38,1,0,378,239,0,128
rap,From The D To The A (feat. Lil Yachty),Tee Grizzley,851,625,-5,303,195,0,266,668,10,99
rap,PICK IT UP (feat. A$AP Rocky),Famous Dex,921,467,-8,119,14,0,334,287,1,135
rap,Hypnotized (feat. Akon),Plies,840,571,-7,79,160,0,406,617,10,116
rap,"My Moment (feat. 2 Chainz, Meek Mill and Jeremih)",DJ Drama,456,760,-3,98,33,0,228,189,1,148
rap,The Show Goes On,Lupe Fiasco,591,889,-3,115,18,0,155,650,7,143
rap,Turks (with Gunna & ft. Travis Scott),NAV,894,618,-4,129,80,0,558,379,7,119
rap,My Chick Bad,Ludacris,624,723,-6,378,172,0,483,757,1,84
rap,"Beamer, Benz, Or Bentley",Lloyd Banks,652,671,-5,315,4,0,598,518,4,159
rap,Solid (feat. Drake),Young Stoner Life,887,485,-9,200,39,0,141,328,11,125
rap,CoCo,O.T. Genasis,886,628,-5,131,2,0,310,178,8,119
rap,Gifted (feat. Roddy Ricch),Cordae,653,603,-5,171,175,0,180,551,5,151
rap,Case Closed,Young Dolph,886,722,-5,198,18,0,82,510,6,144
rap,Hey Ma,Cam’ron,764,669,-5,363,28,0,337,934,8,89
rap,Cocoa Butter Kisses,Chance the Rapper,679,645,-7,222,51,0,145,203,6,125
rap,Back That Azz Up,JUVENILE,874,714,-6,129,15,0,96,541,7,95
rap,Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,691,640,-6,369,511,0,409,163,0,138
rap,Let's Go (feat. Big D & Twista),Trick Daddy,748,767,-7,172,26,0,334,519,11,133
rap,Gang Signs (feat. ScHoolboy Q),Freddie Gibbs,626,615,-6,346,265,0,81,611,1,52
rap,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,693,549,-8,119,10,0,67,605,1,80
rap,Casper,Takeoff,921,607,-7,209,525,0,123,753,1,140
rap,Overnight Celebrity,Twista,828,792,-5,179,182,0,281,777,10,134
rap,Selfish,PnB Rock,638,600,-5,43,114,0,187,39,1,101
rap,Tribe (with J. Cole),Bas,755,594,-5,216,241,0,107,237,7,178
rap,ORANGE SODA,Baby Keem,830,564,-7,235,177,0,128,107,1,85
rap,BELIEVE IT,PARTYNEXTDOOR,430,700,-5,264,90,0,216,731,6,158
rap,Reborn,KIDS SEE GHOSTS,585,597,-7,37,339,40,195,227,0,100
rap,We Gonna Make It,Jadakiss,514,961,-3,347,178,0,146,686,2,87
rap,Reverse (feat. G-Eazy),VIC MENSA,836,703,-4,106,31,0,124,211,0,144
rap,Tiimmy Turner,Desiigner,603,725,-3,39,174,0,78,304,6,122
rap,Addicted to the Game,Jim Jones,609,656,-8,325,104,0,223,329,7,148
rap,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,Diddy,833,619,-5,53,111,0,159,901,7,109
rap,Kiss Me Thru The Phone,Soulja Boy,758,712,-3,112,18,0,67,795,7,149
rap,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,825,458,-7,57,114,0,102,161,0,145
rap,Shorty Wanna Ride,Young Buck,582,621,-6,283,3,0,111,331,11,179
rap,Airplanes (feat. Hayley Williams of Paramore),B.o.B,660,867,-4,116,110,0,36,377,6,93
rap,Day 'N' Nite (Nightmare),Kid Cudi,880,443,-6,65,462,0,122,803,11,138
rap,Poppin' Them Thangs,G-Unit,769,818,-1,192,263,0,78,918,6,88
rap,Ni**as In Paris,JAY-Z,789,858,-5,311,127,0,349,775,1,140
rap,Doin' It,LL Cool J,801,550,-11,209,365,23,117,609,10,94
rap,Pretty Little Fears (feat. J. Cole),6LACK,610,458,-11,360,696,0,85,246,9,192
rap,Handsome,Dave East,852,613,-8,348,9,0,88,547,0,133
rap,Ayy Ladies (feat. Tyga),Travis Porter,905,782,-3,164,96,0,62,798,10,96
rap,Trap Queen,Fetty Wap,746,873,-3,128,24,0,354,817,7,148
rap,Hip Hop Hooray,Naughty By Nature,862,642,-13,101,102,0,272,765,6,99
rap,When I Come Around,Dom Kennedy,814,568,-7,308,25,0,575,560,1,97
