genre,name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,tempo
rock,Baba O'Riley,The Who,489,724,-8,35,313,185,287,150,5,117
rock,Jump - 2015 Remaster,Van Halen,572,835,-6,31,171,0,70,795,0,129
rock,Sweet Home Alabama,Lynyrd Skynyrd,596,605,-12,25,181,0,86,886,7,97
rock,More Than a Feeling,Boston,377,682,-8,29,0,2,50,288,7,108
rock,American Girl,Tom Petty and the Heartbreakers,550,824,-5,33,448,0,366,777,2,114
rock,The Joker,Steve Miller Band,596,448,-9,39,365,0,206,796,5,83
rock,Sunshine Of Your Love,Cream,684,481,-12,38,475,0,118,784,2,115
rock,Drive - 2017 Remaster,The Cars,261,703,-7,41,115,0,102,405,6,83
rock,Stairway to Heaven - Remaster,Led Zeppelin,338,340,-12,33,580,3,116,197,9,82
rock,I Want You to Want Me,Cheap Trick,806,462,-12,29,780,13,150,736,2,92
rock,Hard To Handle,The Black Crowes,599,790,-3,43,2,1,312,961,4,103
rock,La Grange - 2005 Remaster,ZZ Top,545,640,-9,224,2,30,196,606,4,80
rock,(Don't Fear) The Reaper,Blue Öyster Cult,333,927,-8,73,2,0,297,385,9,141
rock,Poison,Alice Cooper,280,908,-5,109,32,0,180,260,2,118
rock,Smoke On The Water - Remastered 2012,Deep Purple,598,676,-9,27,130,225,112,805,0,114
rock,The Boys Are Back In Town,Thin Lizzy,445,706,-9,46,234,0,205,768,8,80
rock,She Sells Sanctuary,The Cult,550,765,-8,28,0,873,132,419,7,139
rock,Barracuda,Heart,547,691,-13,36,15,105,144,667,4,137
rock,All Along the Watchtower,Jimi Hendrix,438,805,-6,62,2,0,84,564,8,113
rock,Black Hole Sun,Soundgarden,361,728,-8,36,0,0,70,155,6,105
rock,Seven Nation Army,The White Stripes,726,463,-7,79,8,447,255,321,0,123
rock,Crazy Train,Ozzy Osbourne,454,913,-4,107,408,0,248,521,9,137
